Date,Price
17-09-2014,457.3340149
18-09-2014,424.4400024
19-09-2014,394.79599
20-09-2014,408.9039917
21-09-2014,398.8210144
22-09-2014,402.1520081
23-09-2014,435.7909851
24-09-2014,423.2049866
25-09-2014,411.5740051
26-09-2014,404.4249878
27-09-2014,399.519989
28-09-2014,377.1809998
29-09-2014,375.4670105
30-09-2014,386.9440002
01-10-2014,383.6149902
02-10-2014,375.071991
03-10-2014,359.5119934
04-10-2014,328.8659973
05-10-2014,320.5100098
06-10-2014,330.07901
07-10-2014,336.1870117
08-10-2014,352.9400024
09-10-2014,365.026001
10-10-2014,361.5620117
11-10-2014,362.2990112
12-10-2014,378.5490112
13-10-2014,390.4140015
14-10-2014,400.8699951
15-10-2014,394.7730103
16-10-2014,382.5559998
17-10-2014,383.7579956
18-10-2014,391.4419861
19-10-2014,389.54599
20-10-2014,382.8450012
21-10-2014,386.4750061
22-10-2014,383.1579895
23-10-2014,358.4169922
24-10-2014,358.3450012
25-10-2014,347.2709961
26-10-2014,354.70401
27-10-2014,352.9890137
28-10-2014,357.6180115
29-10-2014,335.5910034
30-10-2014,345.3049927
31-10-2014,338.3210144
01-11-2014,325.7489929
02-11-2014,325.8919983
03-11-2014,327.5539856
04-11-2014,330.4920044
05-11-2014,339.4859924
06-11-2014,349.2900085
07-11-2014,342.4150085
08-11-2014,345.4880066
09-11-2014,363.2640076
10-11-2014,366.9240112
11-11-2014,367.6950073
12-11-2014,423.5610046
13-11-2014,420.7349854
14-11-2014,397.8179932
15-11-2014,376.1329956
16-11-2014,387.8819885
17-11-2014,387.4079895
18-11-2014,375.197998
19-11-2014,380.5549927
20-11-2014,357.8399963
21-11-2014,350.8479919
22-11-2014,352.9200134
23-11-2014,367.572998
24-11-2014,376.901001
25-11-2014,375.3479919
26-11-2014,368.3699951
27-11-2014,369.6700134
28-11-2014,376.446991
29-11-2014,375.4909973
30-11-2014,378.0469971
01-12-2014,379.2449951
02-12-2014,381.3150024
03-12-2014,375.0100098
04-12-2014,369.6040039
05-12-2014,376.8540039
06-12-2014,374.7850037
07-12-2014,375.0950012
08-12-2014,361.9089966
09-12-2014,352.2189941
